epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
88,0.75226333,4.971339293,0.827519316,3.164314479,6.682056189,98.66270423,0.556574576,2.206598595,10.51603094,1.74361892,5.666023493,11.84973791
89,0.754116336,4.965475649,0.828708122,3.165296465,6.683573872,97.73686528,0.519025838,2.203952521,10.51729292,1.744056288,5.653276667,11.85137182
90,0.755657861,4.998770244,0.832053507,3.1938117,6.692825258,98.45387936,0.475519942,2.205144055,10.52374631,1.742588952,5.652852729,11.85518652
91,0.746141002,4.957841747,0.847807378,3.160184249,6.674404442,97.73454666,0.517504662,2.202400938,10.51367529,1.745074522,5.648223683,11.84310466
92,0.750730466,4.970260374,0.845201109,3.16317454,6.678942591,98.57192636,0.517359469,2.202246711,10.51031314,1.7393931,5.652181059,11.84696034
93,0.743634254,4.958527386,0.855822908,3.172369301,6.672659516,98.57760668,0.519778719,2.201540396,10.50471336,1.740679219,5.6584429,11.84159741
94,0.744717242,4.956866428,0.820414228,3.196271136,6.675107777,98.63970876,0.543633243,2.198937163,10.51024474,1.736832429,5.64945899,11.85030416
95,0.743552204,4.9599104,0.821602866,3.149234504,6.676238775,98.70666265,0.5677409,2.196500637,10.50209887,1.734074112,5.660387874,11.83238328
96,0.742951641,4.95138634,0.824694699,3.146039322,6.673223525,98.6643672,0.552380411,2.19637733,10.50840944,1.734657157,5.641885474,11.84292734
97,0.742198341,4.951436631,0.868006675,3.15787755,6.698157638,97.77263403,0.526470412,2.196139283,10.49917594,1.740989853,5.661424994,11.8336007
98,0.748938834,4.946216382,0.825793734,3.138785437,6.658309698,98.6610949,0.545329228,2.195121534,10.49086981,1.730147693,5.632671714,11.82671711
99,0.740966573,4.93658457,0.822641971,3.163805977,6.658810377,98.50971699,0.486356905,2.191900089,10.48499443,1.729182098,5.632654577,11.82652116
100,0.764343794,4.943810105,0.883034421,3.134886548,6.653480977,97.77220488,0.525496341,2.193983272,10.49115948,1.735724844,5.629569292,11.83481291
101,0.743644312,4.961860031,0.8188878,3.138219938,6.65313378,98.64265919,0.540461205,2.192257531,10.50000273,1.728484556,5.628538877,11.83215305
102,0.771787344,4.93385274,0.893910946,3.160498291,6.662674248,98.64290357,0.535450736,2.196804807,10.47908351,1.730245929,5.624017492,11.82379425
103,0.74532358,4.980213717,0.821387619,3.159175441,6.646839529,98.61363769,0.524913101,2.189838886,10.51314153,1.728243157,5.62912114,11.83909923
104,0.739292568,4.933454432,0.813436462,3.136638179,6.644272059,98.65416884,0.538278138,2.187236398,10.49080342,1.728367712,5.621282384,11.82218939
105,0.735742087,4.923437387,0.823621815,3.136923909,6.645005941,97.83946872,0.542340241,2.185733803,10.47245845,1.725049485,5.61975427,11.81792095
106,0.738069369,4.91168797,0.848877244,3.140404448,6.646378338,97.73083329,0.498387823,2.187234722,10.46935044,1.721575521,5.62174581,11.82553098
107,0.744409719,4.97452911,0.844185557,3.157605231,6.635893136,97.82734513,0.532330107,2.185128629,10.48411265,1.722600292,5.615653098,11.81686893
108,0.742951455,4.923776351,0.814517643,3.129257262,6.634014845,98.7285018,0.561318453,2.185775526,10.46190731,1.720101312,5.612294003,11.82003841
109,0.752863241,4.925885908,0.814582855,3.148926422,6.634548306,98.60197306,0.509370351,2.185664885,10.46290711,1.718815695,5.616340414,11.81555763
110,0.738703972,4.913353287,0.837552538,3.130966425,6.624151021,98.60688448,0.508047221,2.182168327,10.45208573,1.715883035,5.604437739,11.80999652
111,0.730883656,4.959008843,0.824723616,3.139193729,6.625301391,98.54940176,0.483733229,2.182249539,10.45600243,1.718593407,5.606898665,11.81675419
112,0.758383283,4.909881167,0.802202197,3.141682595,6.624032557,98.75375032,0.565727334,2.185005508,10.46704508,1.719208304,5.612463504,11.82438731
113,0.737238768,4.919652455,0.824343832,3.131892905,6.618899107,98.72361422,0.550844474,2.179145068,10.44887245,1.72693491,5.614530295,11.81379855
114,0.732602226,4.907380007,0.804299684,3.14318575,6.611870229,97.78086543,0.505914213,2.179781534,10.45263961,1.714627761,5.615866184,11.81286499
115,0.73355455,4.906898886,0.828988496,3.156753629,6.60886839,97.800529,0.510674436,2.177085727,10.43870285,1.719782129,5.597682297,11.80148423
116,0.737928925,4.900706336,0.837663934,3.153299168,6.615330279,97.84322381,0.519817648,2.17681583,10.43725915,1.715490259,5.596199259,11.80249155
117,0.727545656,4.883808084,0.798701327,3.124163672,6.602834165,98.4780848,0.454287278,2.175428346,10.43472447,1.708073784,5.590611324,11.80393472
118,0.726751564,4.917428233,0.825990206,3.135588765,6.602001935,98.71026874,0.535185961,2.176186815,10.4470291,1.716271285,5.596805364,11.80458292
119,0.739131076,4.888398685,0.862343693,3.158376738,6.602150947,98.7252295,0.538748875,2.177998424,10.44146955,1.717056334,5.597510189,11.80870757
120,0.738197519,4.877820723,0.801658295,3.110019863,6.601326913,98.7054646,0.528356992,2.174813673,10.44208646,1.70996977,5.590606481,11.80583835
121,0.729212118,4.948183782,0.860384256,3.119280748,6.604201347,97.68432379,0.468304474,2.173967473,10.43302663,1.703054365,5.589754879,11.80157587
122,0.774297118,4.868098721,0.796946995,3.141866624,6.60180077,98.59078526,0.489375181,2.176161855,10.43139987,1.703309845,5.595410243,11.80494204
123,0.727082649,4.883466437,0.79675572,3.110144474,6.596945226,98.63210917,0.498865824,2.171271108,10.42429201,1.709216405,5.584774539,11.79956049
124,0.724004721,4.866983593,0.797676975,3.108971938,6.591166556,97.69829512,0.468153739,2.16976963,10.42746976,1.706771906,5.581899732,11.79985106
125,0.728933467,4.868460149,0.791041022,3.143671155,6.601209193,97.84094095,0.512165483,2.169908769,10.42828448,1.703327112,5.586253107,11.79989055
126,0.72500729,4.870936498,0.795139438,3.115313128,6.589340419,98.61149192,0.488247909,2.168776281,10.41500755,1.701263823,5.590286478,11.7971018
127,0.734639727,4.877179675,0.811554557,3.106690571,6.604642421,97.88700938,0.530947046,2.170588635,10.41985631,1.698167045,5.57712689,11.79948375
128,0.738189043,4.87834543,0.790714128,3.107749298,6.590530276,97.81235456,0.50282469,2.17471607,10.42751603,1.703900099,5.579636246,11.803931
129,0.726504624,4.870929457,0.787940472,3.107430786,6.580580771,97.70146012,0.460820133,2.1677766,10.41702591,1.698338035,5.582352355,11.79726496
130,0.73307883,4.852954298,0.821147561,3.154802695,6.588943303,98.52406979,0.45574503,2.169631422,10.41112572,1.703739669,5.580203235,11.79392114
131,0.72038467,4.862355106,0.789503278,3.100519627,6.586226076,98.61881733,0.484929932,2.167426609,10.40216446,1.693143267,5.574203655,11.7931284
132,0.723788468,4.87947464,0.805670712,3.148222342,6.60084039,98.61715436,0.488733267,2.166345902,10.41176677,1.698104013,5.588010326,11.80151254
133,0.724962028,4.889823608,0.890590288,3.118469194,6.576791406,98.73176813,0.530218612,2.166655473,10.41004747,1.71103796,5.58497943,11.79254055
134,0.734513905,4.844637774,0.785254575,3.091270477,6.58756271,98.66628051,0.496148784,2.164471149,10.40306166,1.690916866,5.573243275,11.78690568
135,0.732916268,4.894498698,0.875649797,3.213767707,6.606468558,98.74521494,0.526761031,2.167416736,10.41838109,1.702999044,5.571724847,11.79852113
136,0.727557344,4.850962423,0.797622409,3.113647737,6.574568152,98.77887368,0.548530696,2.166105248,10.40734313,1.689648852,5.580470338,11.8027322
137,0.721575366,4.83785782,0.81689693,3.116063401,6.579706818,97.80661464,0.489727454,2.162241377,10.40715873,1.700843889,5.575088784,11.79339066
138,0.725615304,4.832590297,0.784043223,3.111565113,6.579678506,98.72529507,0.516790105,2.162510157,10.39394148,1.686679982,5.564473197,11.7950581
139,0.718568172,4.855962731,0.805802057,3.09360195,6.569433212,98.63173962,0.475032674,2.161162347,10.39611742,1.685020197,5.562427267,11.78555042
140,0.718992343,4.836228713,0.780249741,3.101173788,6.569522619,98.71419072,0.51027583,2.162213624,10.40375635,1.687137131,5.585215613,11.79125011
141,0.720217358,4.878196567,0.77629826,3.084146418,6.575214863,97.90383577,0.516041694,2.160483412,10.41308843,1.683468707,5.565684289,11.78578138
142,0.71622883,4.834656604,0.774894208,3.09748929,6.562488526,98.80390763,0.543465093,2.158790827,10.39623342,1.687490679,5.56717217,11.78429127
143,0.713683851,4.834664315,0.777270896,3.088100068,6.562627852,98.77516627,0.537254754,2.157344669,10.39428547,1.682720874,5.583241582,11.79266125
144,0.731906295,4.843322821,0.7877497,3.08560878,6.557258964,98.9263773,0.593990833,2.157396264,10.38907595,1.687141657,5.553941429,11.78201661
145,0.713049527,4.818607941,0.776251322,3.114061058,6.569339335,98.74162078,0.510254595,2.15637479,10.3796728,1.679978985,5.55530116,11.78274751
146,0.714158453,4.845870584,0.805352284,3.079123981,6.561171263,98.63337874,0.471817236,2.155162022,10.39300136,1.68073805,5.556321889,11.7896609
147,0.717745768,4.819913842,0.775268795,3.095782362,6.562677026,98.72984886,0.507964194,2.153812535,10.38637362,1.679076422,5.552113056,11.7892541
148,0.714580202,4.829466864,0.772344349,3.079211339,6.55676797,98.67168665,0.484850537,2.155581117,10.38867228,1.677106842,5.551406741,11.79097518
149,0.710060168,4.813574776,0.777658392,3.098715283,6.558014452,98.65944982,0.479818927,2.154195681,10.39063297,1.67812122,5.559083819,11.77995875
150,0.713720359,4.815188795,0.774619617,3.089027852,6.556396186,98.72543812,0.501288287,2.155783586,10.37530079,1.67979056,5.565241724,11.78664267
151,0.712618046,4.824523889,0.769850565,3.105711006,6.567363441,98.71928096,0.495712366,2.152640186,10.37973918,1.673922893,5.558321252,11.7838271
152,0.74528316,4.818578102,0.78636568,3.076938353,6.554333121,98.7413764,0.508477446,2.161735855,10.38775697,1.678352896,5.546923727,11.78390756
153,0.720889121,4.816599973,0.772041762,3.082353435,6.554157287,98.75417948,0.508333417,2.151525952,10.38105145,1.674741805,5.550733581,11.7851831
154,0.710364385,4.80032701,0.782363992,3.075140342,6.563060731,98.74737859,0.505129155,2.151188068,10.3831248,1.674271245,5.559583381,11.78334653
155,0.707690371,4.850749858,0.76356682,3.074338846,6.547510624,98.66685271,0.47095078,2.148706838,10.3767693,1.67368602,5.554054677,11.78283244
156,0.711628469,4.81632337,0.766656389,3.071125969,6.556359679,98.78655672,0.521753123,2.148587257,10.37249856,1.670575496,5.542030931,11.78023741
